timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,prev_mag,mag,mag_delta,original_steps,binary
00:57.3,-3.05700016,-9.505950928,0.447000027,-0.697399974,1.103299975,-0.058712501,5.846880756,9.995407047,4.148526291,3,0
00:57.3,-1.078950047,-9.68295002,0.49695003,-0.754737496,0.679799974,-0.015125,9.995407047,9.755542713,-0.239864334,3,0
00:57.4,-2.695950031,-9.262050629,0.408000022,-0.899524987,1.200099945,-0.239662498,9.755542713,9.655060457,-0.100482255,3,0
00:57.5,-1.659000039,-9.208950043,-0.211050004,-0.74634999,0.555225015,-0.36946249,9.655060457,9.359571792,-0.295488666,3,0
00:57.6,-1.764000058,-9.517950058,0.744000018,-0.752674997,0.667975008,-0.358737499,9.359571792,9.708584116,0.349012324,3,0
00:57.6,-1.144050002,-9.058050156,-1.164000034,-0.581349969,0.794612467,-0.311987489,9.708584116,9.20391325,-0.504670866,3,0
00:57.7,-1.795050144,-11.43900013,3.594000101,-0.562237501,1.027675033,-0.305525005,9.20391325,12.12393359,2.920020341,3,1
00:57.8,-0.760050058,-12.37500095,2.386950016,0.933075011,0.351999998,-0.008662499,12.12393359,12.62599917,0.502065581,4,0
00:57.9,-2.049000025,-10.5499506,-2.428950071,2.258987427,-0.532400012,0.316937506,12.62599917,11.01815126,-1.60784791,4,0
00:58.0,-0.382050008,-9.397950172,0.274050027,1.32357502,-0.875050008,0.732050002,11.01815126,9.409704197,-1.608447064,4,0
00:58.0,1.047000051,-7.626000404,0.091950007,1.187312484,-1.34117496,0.47025001,9.409704197,7.69808717,-1.711617027,4,0
00:58.1,0.141000003,-6.952950478,0.801000059,0.418962508,-0.80588752,0.255199999,7.69808717,7.000357308,-0.697729862,4,0
00:58.2,-0.322050005,-7.630950451,3.481050253,-0.065174997,-0.61641252,0.129662499,7.000357308,8.39361852,1.393261212,4,0
00:58.3,-3.414000273,-9.858000755,6.762000084,-0.357912511,0.128425002,0.030662499,8.39361852,12.43222514,4.038606619,4,0
00:58.4,-0.943050027,-6.193950176,1.096050024,0.417999983,-0.836687505,0.296725005,12.43222514,6.360478582,-6.071746556,4,0
00:58.4,-0.715050042,-19.69200134,10.68000031,-0.51424998,-0.249287501,0.308412492,6.360478582,22.41313499,16.05265641,5,1
00:58.5,-3.091050148,-11.28300095,2.227950096,0.165687501,-0.305662513,0.089237496,22.41313499,11.90900764,-10.50412735,5,0
00:58.6,-0.48300001,-8.929050446,1.093050003,-0.60898751,0.689287484,0.161562502,11.90900764,9.008661897,-2.900345744,5,0
00:58.7,-1.909950137,-9.511050224,1.158000112,-0.789937496,0.994812489,-0.161974996,9.008661897,9.769797856,0.761135959,5,0
00:58.8,-1.450050116,-9.131999969,1.203000069,-0.821837485,0.520162523,-0.183149993,9.769797856,9.324337936,-0.44545992,5,0
00:58.8,-1.222950101,-9.307050705,0.820050061,-0.944212496,0.585062504,-0.268400013,9.324337936,9.422806476,0.09846854,5,0
00:58.9,-1.801950097,-9.573000908,0.847050011,-0.739887476,0.815925002,-0.36203751,9.422806476,9.777876265,0.35506979,5,0
00:59.0,-1.684950113,-9.712050438,-0.895950019,-0.521812499,0.751025021,-0.406724989,9.777876265,9.897762729,0.119886463,5,0
00:59.1,-0.634050012,-10.78005028,2.94900012,-0.494037509,1.52047503,-0.388574988,9.897762729,11.19411029,1.296347558,5,0
00:59.2,-2.566050053,-13.69995022,4.822050095,0.62865001,0.52442497,-0.085249998,11.19411029,14.74874286,3.554632574,6,1
00:59.2,-2.18295002,-11.51805019,-3.043950081,2.652787447,-1.002787471,0.442612499,14.74874286,12.11182823,-2.636914627,6,0
