timestamp,x_acc,y_acc,z_acc,prev_mag,mag,mag_delta,original_steps
2022-12-02 10:56:22.822457,-4.698000431060791,-6.4069504737854,6.3100504875183105,0.0,10.145785311094278,10.145785311094278,0
2022-12-02 10:56:22.904567,-5.067000389099121,-6.237000465393066,5.433000087738037,10.145785311094278,9.700111221104915,-0.4456740899893621,0
2022-12-02 10:56:22.981371,-5.713050365447998,-6.148050308227539,4.975950241088867,9.700111221104915,9.756923074024648,0.056811852919732786,0
2022-12-02 10:56:23.062063,-5.067000389099121,-6.169950485229492,5.193000316619873,9.756923074024648,9.52418155127927,-0.2327415227453784,0
2022-12-02 10:56:23.142647,-5.497950077056885,-5.845950126647949,5.098050117492676,9.52418155127927,9.507507714092693,-0.01667383718657689,0
2022-12-02 10:56:23.223563,-5.509950160980225,-5.284050464630127,5.694000244140625,9.507507714092693,9.523779652507578,0.016271938414885057,0
2022-12-02 10:56:23.303757,-5.332950115203857,-4.800000190734863,4.408050060272217,9.523779652507578,8.420882619783598,-1.1028970327239804,0
2022-12-02 10:56:23.384785,-5.116950035095215,-4.63200044631958,5.0209503173828125,8.420882619783598,8.535136078938184,0.11425345915458607,0
2022-12-02 10:56:23.466775,-6.300000190734863,-4.479000091552734,6.951000213623047,8.535136078938184,10.395568680605038,1.8604326016668544,0
2022-12-02 10:56:23.547238,-7.372950553894043,-8.194050788879395,7.941000461578369,10.395568680605038,13.585372888945278,3.18980420834024,0
2022-12-02 10:56:23.628001,-1.582050085067749,-7.267050266265869,4.504050254821777,13.585372888945278,8.694789861868879,-4.890583027076399,0
2022-12-02 10:56:23.707900,-3.9270002841949463,-6.78795051574707,7.216950416564941,8.694789861868879,10.657484541459818,1.962694679590939,0
2022-12-02 10:56:23.787588,-2.3869500160217285,-7.329000473022461,5.179050445556641,10.657484541459818,9.286244764713562,-1.3712397767462559,0
2022-12-02 10:56:23.868320,-3.7140002250671387,-6.091050148010254,5.950050354003906,9.286244764713562,9.289660316317088,0.0034155516035259126,0
2022-12-02 10:56:23.950079,-3.9340500831604004,-6.169950485229492,6.051000118255615,9.289660316317088,9.495243097368675,0.20558278105158756,0
2022-12-02 10:56:24.030271,-3.9030001163482666,-6.531000137329102,5.806950092315674,9.495243097368675,9.571209018543705,0.07596592117502965,0
2022-12-02 10:56:24.109430,-5.088000297546387,-6.3349504470825195,6.331050395965576,9.571209018543705,10.300560339664974,0.7293513211212694,0
2022-12-02 10:56:24.191436,-5.5980000495910645,-7.923000335693359,6.286050319671631,10.300560339664974,11.559669869683237,1.2591095300182626,0
2022-12-02 10:56:24.270642,-9.514050483703613,-6.7009501457214355,3.2100000381469727,11.559669869683237,12.071619183307956,0.5119493136247186,0
2022-12-02 10:56:24.352196,-3.280050039291382,-8.305950164794922,5.3710503578186035,12.071619183307956,10.42092694276932,-1.6506922405386355,0
2022-12-02 10:56:24.432806,-3.1720502376556396,-7.31505012512207,4.6120500564575195,10.42092694276932,9.21101876919863,-1.2099081735706907,0
2022-12-02 10:56:24.513387,-4.746000289916992,-5.784000396728516,3.016050100326538,9.21101876919863,8.066953424244343,-1.1440653449542868,0
2022-12-02 10:56:24.592770,-3.5080502033233643,-5.5570502281188965,2.611950159072876,8.066953424244343,7.071740033425592,-0.9952133908187504,0
2022-12-02 10:56:24.674279,-3.4930500984191895,-6.142950057983398,2.1469500064849854,7.071740033425592,7.3855689513598355,0.3138289179342433,0
2022-12-02 10:56:24.754797,-11.50005054473877,-4.572000026702881,7.138050556182861,7.3855689513598355,14.286571055307151,6.901002103947316,0
2022-12-02 10:56:24.834012,-2.0059502124786377,-9.48900032043457,6.967950344085693,14.286571055307151,11.942248336632193,-2.344322718674958,0
2022-12-02 10:56:24.914092,0.016950000077486038,-8.0110502243042,6.219000339508057,11.942248336632193,10.141655595691875,-1.8005927409403188,0
2022-12-02 10:56:24.996046,-3.1150500774383545,-7.105950355529785,5.502000331878662,10.141655595691875,9.511575846945421,-0.6300797487464536,0
2022-12-02 10:56:25.075833,-2.9040000438690186,-5.947050094604492,6.12000036239624,9.511575846945421,9.014156949945829,-0.4974188969995925,0
2022-12-02 10:56:25.156304,-3.4960501194000244,-6.0360002517700195,5.605050086975098,9.014156949945829,8.948310005482835,-0.06584694446299366,0
2022-12-02 10:56:25.237009,-4.803000450134277,-7.116000175476074,5.48805046081543,8.948310005482835,10.18945384610098,1.241143840618145,0
2022-12-02 10:56:25.317118,-6.168000221252441,-7.594950199127197,6.475050449371338,10.18945384610098,11.732594494761011,1.5431406486600316,0
2022-12-02 10:56:25.397773,-7.171950340270996,-7.14900016784668,5.086050033569336,11.732594494761011,11.331945112254813,-0.40064938250619875,0
2022-12-02 10:56:25.478323,-1.6489500999450684,-9.910950660705566,4.879950046539307,11.331945112254813,11.169596764779287,-0.1623483474755254,0
2022-12-02 10:56:25.558583,-3.7609500885009766,-7.6710004806518555,5.509950160980225,11.169596764779287,10.166048628589305,-1.0035481361899823,0
2022-12-02 10:56:25.639413,-1.852950096130371,-6.838050365447998,3.1720502376556396,10.166048628589305,7.762361726263744,-2.4036869023255614,0
2022-12-02 10:56:25.720171,-1.9800001382827759,-5.7270002365112305,3.1459500789642334,7.762361726263744,6.827586261332373,-0.9347754649313709,0
2022-12-02 10:56:25.799431,-3.3730502128601074,-6.277050495147705,3.5310001373291016,6.827586261332373,7.952785211919646,1.125198950587273,0
2022-12-02 10:56:25.882605,-11.907000541687012,-4.507950305938721,7.342050552368164,7.952785211919646,14.697074000428707,6.744288788509061,0
