timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,prev_mag,mag,mag_delta,original_steps,binary
53:57.2,-1.601994753,-9.597013474,-1.408774376,-0.197150946,-0.053907271,-0.150879279,9.756523483,9.831261366,0.074737883,0,0
53:57.2,-1.623530149,-9.702297211,-1.310668588,-0.197150946,-0.053907271,-0.150879279,9.831261366,9.924125828,0.092864463,0,0
53:57.2,-1.582852125,-9.891330719,-1.317847013,-0.197150946,-0.053907271,-0.150879279,9.924125828,10.10349271,0.179366884,0,0
53:57.2,-1.417747378,-10.10668468,-1.466202021,-0.197150946,-0.053907271,-0.150879279,10.10349271,10.31042343,0.206930718,0,0
53:57.2,-1.123430252,-10.04207802,-1.593021631,-0.197150946,-0.053907271,-0.150879279,10.31042343,10.22952317,-0.080900256,0,0
53:57.4,-0.860219717,-9.814760208,-1.583450437,-0.154849783,-0.231511116,-0.14248012,10.22952317,9.978818126,-0.250705048,0,0
53:57.5,-0.857826889,-9.771689415,-1.492523074,-0.154849783,-0.231511116,-0.14248012,9.978818126,9.92216741,-0.056650715,0,0
53:57.5,-0.922433138,-10.02532864,-1.449452281,-0.154849783,-0.231511116,-0.14248012,9.92216741,10.17148018,0.249312771,0,0
53:57.5,-0.927218795,-10.13061333,-1.387238979,-0.154849783,-0.231511116,-0.14248012,10.17148018,10.26710734,0.095627156,0,0
53:57.5,-0.83868432,-10.05165005,-1.360917926,-0.154849783,-0.231511116,-0.14248012,10.26710734,10.17797414,-0.089133193,0,0
53:57.5,-0.821934581,-9.934401512,-1.327418327,-0.154849783,-0.231511116,-0.14248012,10.17797414,10.05633876,-0.121635382,0,0
53:57.5,-0.920040309,-9.908080101,-1.253240824,-0.154849783,-0.231511116,-0.14248012,10.05633876,10.02931394,-0.027024825,0,0
53:57.5,-1.030110121,-9.948758125,-1.24366951,-0.154849783,-0.231511116,-0.14248012,10.02931394,10.07896964,0.049655701,0,0
53:57.5,-1.034895778,-10.00139999,-1.200598717,-0.154849783,-0.231511116,-0.14248012,10.07896964,10.12622577,0.047256135,0,0
53:57.5,-1.025324464,-9.979865074,-1.107278705,-0.154849783,-0.231511116,-0.14248012,10.12622577,10.09331775,-0.032908018,0,0
53:57.5,-1.013360381,-9.932008743,-0.992423177,-0.154849783,-0.231511116,-0.14248012,10.09331775,10.03277632,-0.060541433,0,0
53:57.7,-1.049252748,-9.747760773,-1.363310695,-0.015729317,-0.10353861,-0.068720318,10.03277632,9.898403278,-0.134373042,0,0
53:57.7,-0.948754191,-9.685547829,-0.913460016,-0.015729317,-0.10353861,-0.068720318,9.898403278,9.774680581,-0.123722698,0,0
53:57.7,-1.089930773,-9.86022377,-0.777069151,-0.015729317,-0.10353861,-0.068720318,9.774680581,9.950668236,0.175987656,0,0
53:57.7,-1.116251707,-9.955936432,-0.89192462,-0.015729317,-0.10353861,-0.068720318,9.950668236,10.05794301,0.107274776,0,0
53:57.7,-1.013360381,-9.900901794,-0.824925601,-0.015729317,-0.10353861,-0.068720318,10.05794301,9.98675412,-0.071188892,0,0
53:57.7,-1.152144074,-10.39621639,-0.772283494,-0.015729317,-0.10353861,-0.068720318,9.98675412,10.48833509,0.501580974,0,0
53:57.7,-1.135394335,-10.08754253,-1.145563841,-0.015729317,-0.10353861,-0.068720318,10.48833509,10.21567184,-0.272663252,0,0
53:57.7,-0.850648463,-9.637691498,-0.915852845,-0.015729317,-0.10353861,-0.068720318,10.21567184,9.718409677,-0.497262165,0,0
53:57.7,-0.965503931,-9.924830437,-0.710070133,-0.015729317,-0.10353861,-0.068720318,9.718409677,9.996932361,0.278522684,0,0
53:57.7,-1.278963685,-10.26221848,-0.81056869,-0.015729317,-0.10353861,-0.068720318,9.996932361,10.37332626,0.376393901,0,0
53:57.7,-1.185643673,-9.972686768,-0.808175862,-0.015729317,-0.10353861,-0.068720318,10.37332626,10.07538488,-0.297941381,0,0
53:57.9,-1.061216831,-9.776474953,-0.733998358,-0.024281178,0.002596101,0.003970507,10.07538488,9.861257387,-0.214127494,0,0
53:57.9,-1.077966571,-9.807581902,-0.722034216,-0.024281178,0.002596101,0.003970507,9.861257387,9.893028257,0.03177087,0,0
53:57.9,-1.089930773,-9.93918705,-0.650249541,-0.024281178,0.002596101,0.003970507,9.893028257,10.01989086,0.126862599,0,0
53:57.9,-1.118644595,-9.927223206,-0.645463884,-0.024281178,0.002596101,0.003970507,10.01989086,10.01088158,-0.00900928,0,0
53:57.9,-0.984646499,-9.881759644,-0.676570594,-0.024281178,0.002596101,0.003970507,10.01088158,9.953715394,-0.057166182,0,0
53:57.9,-0.90329057,-9.843474388,-0.595214605,-0.024281178,0.002596101,0.003970507,9.953715394,9.902737112,-0.050978282,0,0
