timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,prev_mag,mag,mag_delta,original_steps,binary
00:54.1,-0.520950019,-9.48195076,2.118000031,-0.0077,0.071087502,0.032862499,0,9.729578781,9.729578781,0,0
00:54.2,-0.612000048,-9.429000854,1.845000029,0.022,-0.063112497,0.01045,9.729578781,9.627285509,-0.102293272,0,0
00:54.2,-0.69600004,-9.457950592,1.881000042,0.00715,-0.033275001,0.032862499,9.627285509,9.668268026,0.040982516,0,0
00:54.3,-0.44205001,-9.412950516,1.896000147,-0.0353375,-0.044962499,0.0072875,9.668268026,9.612172605,-0.056095421,0,0
00:54.4,-0.508949995,-9.433950424,1.759050131,-0.0099,-0.060912501,0.0083875,9.612172605,9.610031637,-0.002140967,0,0
00:54.5,-0.531000018,-9.652050018,1.936050057,0.0561,0.075212501,0.032862499,9.610031637,9.858616556,0.248584919,0,0
00:54.5,-0.672000051,-9.396000862,1.929000139,0.00935,0.010312499,0.021175001,9.858616556,9.615480113,-0.243136443,0,0
00:54.6,-0.80400002,-9.300000191,1.957950115,-0.0099,0.00935,0.013612499,9.615480113,9.53781884,-0.077661273,0,0
00:54.7,-0.775050044,-9.604050636,1.965000153,-0.033275001,0.080574997,0.040287498,9.53781884,9.833601415,0.295782575,0,0
00:54.8,-0.679050028,-9.376950264,1.860000134,0.0231,-0.0375375,0.0061875,9.833601415,9.583731303,-0.249870112,0,0
00:54.9,-0.634050012,-9.480000496,1.989000082,0.00605,0.029562499,0.0009625,9.583731303,9.707139133,0.12340783,0,0
00:54.9,-0.720000029,-9.412950516,2.106000185,0.015675001,-0.016224999,0.0061875,9.707139133,9.67250093,-0.034638203,0,0
00:55.0,-1.117050052,-9.68295002,3.036000252,-0.0056375,-0.0683375,-0.0160875,9.67250093,10.20904596,0.536545031,0,0
00:55.1,-1.423950076,-9.844050407,3.330000162,0.168987498,-0.318450004,-0.023512499,10.20904596,10.48913072,0.280084762,0,0
