timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,prev_mag,mag,mag_delta,original_steps
43:02.5,0.891000032,-9.598950386,1.09800005,0.403699994,-0.108625002,-0.419099987,8.921361658,9.70254264,0.781180982,0
43:02.5,-2.635950089,-11.43600082,-0.762000024,0.716650009,0.312812507,-0.666050017,9.70254264,11.76056936,2.058026723,0
43:02.6,-2.29095006,-13.07895088,-1.606950045,0.136675,-0.703450024,-0.0881375,11.76056936,13.3749653,1.614395937,0
43:02.7,3.490050077,-12.38700104,-3.013050079,-1.638450027,-0.377849996,0.744149983,13.3749653,13.21728849,-0.157676811,0
43:02.8,-0.985950053,-10.61505032,-0.145950004,-1.770449996,-1.581524968,0.988900006,13.21728849,10.66173964,-2.555548852,0
43:02.9,1.70295012,-8.160000801,0.006,-0.601975024,-0.706749976,1.048437476,10.66173964,8.33580759,-2.325932048,0
43:02.9,2.34705019,-6.535950184,-0.265950024,-0.330549985,0.838474989,1.187862515,8.33580759,6.949677605,-1.386129985,0
43:03.0,1.846950054,-6.130950451,-0.730950058,0.135574996,0.861987472,0.442887485,6.949677605,6.444692849,-0.504984756,0
43:03.1,-9.319950104,-15.11295033,-5.740950108,0.713487506,0.817300022,-0.696850002,6.444692849,18.66068717,12.21599432,0
43:03.2,2.139000177,-8.281949997,-2.941050053,-0.523187518,0.445775002,0.357775003,18.66068717,9.045208285,-9.615478883,0
43:03.3,7.873050213,1.849950075,2.98995018,-0.0155375,-0.621637523,-0.289299995,9.045208285,8.62247279,-0.422735495,0
43:03.3,-2.647950172,-14.19795036,1.207950115,0.543124974,-0.468324989,-1.106600046,8.62247279,14.49319075,5.87071796,0
43:03.4,0.670950055,-7.152000427,-0.570000052,1.341312528,-0.4384875,-0.851125002,14.49319075,7.205982525,-7.287208225,0
43:03.5,0.172950014,-9.43200016,-0.556050003,1.098624945,0.573512495,-0.503112495,7.205982525,9.449959277,2.243976752,0
43:03.6,0.127050012,-9.465000153,-0.28095001,0.722975016,-0.095837496,-0.444674999,9.449959277,9.470021251,0.020061975,0
43:03.7,-1.611000061,-11.23500061,-0.276000023,0.677187502,0.468187511,-0.693687499,9.470021251,11.35326983,1.883248583,0
43:03.7,-3.12405014,-13.25700092,-2.242050171,0.017462499,-0.546012521,-0.160462499,11.35326983,13.80342536,2.450155528,0
43:03.8,1.971000075,-12.43005085,-3.58095026,-1.58413744,-0.652437508,0.783474982,13.80342536,13.0848848,-0.718540563,0
43:03.9,-1.170000076,-10.7130003,-0.184950009,-1.997050047,-1.344200015,1.089962482,13.0848848,10.77828753,-2.30659727,0
43:04.0,0.958050072,-7.911000252,-0.372000009,-0.559350014,-0.752399981,1.134649992,10.77828753,7.977478858,-2.800808671,0
43:04.0,3.47295022,-6.009000301,-0.115050003,-0.222062498,1.076900005,1.250699997,7.977478858,6.941376258,-1.0361026,0
43:04.1,1.36500001,-6.213000298,-0.702000022,0.0462,0.879999995,0.327937484,6.941376258,6.399797009,-0.541579249,0
43:04.2,-9.409049988,-13.95105076,-6.433050156,0.842187524,0.629887521,-0.686262488,6.399797009,18.01516509,11.61536808,0
43:04.3,0.595950007,-6.39495039,-1.879950047,-0.545462489,0.508612514,0.488674998,18.01516509,6.692141591,-11.3230235,0
43:04.4,6.414000511,-3.037050247,-3.154950142,0.411262512,-0.734387517,-0.400949985,6.692141591,7.766388296,1.074246704,0
43:04.4,-0.327000022,-11.90100098,0.838950038,0.39517501,-0.0682,-1.006500006,7.766388296,11.93501531,4.168627013,0
43:04.5,-0.222000018,-7.489050388,0.592950046,1.292362452,-0.636487484,-1.011862516,11.93501531,7.515766726,-4.419248583,0
43:04.6,0.010050001,-9.525000572,-1.348950028,1.097662449,0.232924998,-0.436149985,7.515766726,9.620052135,2.104285409,0
43:04.7,0.685050011,-8.617050171,0.625950038,0.654912472,0.0297,-0.354200006,9.620052135,8.666871443,-0.953180692,0
43:04.8,-0.847050011,-10.78695011,-1.342050076,0.73892498,0.342649996,-0.658487499,8.666871443,10.90306768,2.236196237,0
43:04.8,-2.2120502,-12.7680006,-2.338050127,-0.008112499,-0.311850011,-0.396687508,10.90306768,13.16744029,2.264372613,0
43:04.9,1.237950087,-11.32395077,-4.450050354,-1.395762444,-0.532124996,0.671687484,13.16744029,12.22977226,-0.937668032,0
